path,bytes,sha256
ops/virtual-office/snapshots/--interval.json,183,3712939cf6b665b5263ae8eb9d8fbc59cf8365ad1259d21b7b4851942865beb7
ops/virtual-office/snapshots/B2.json,176,79d20eff2111f6f5f577221ae242b60c76415dab996f7b5713b60524c8049f77
ops/virtual-office/snapshots/CLAUDE.json,179,d5b66ae3c7bbd0c5a23d60b64d0085b7c74be296adbbd819898c28c653bdcb39
ops/virtual-office/snapshots/COWORK.json,181,d1a6a67fa2ba2916cdbf57e678d921ba0adeccd3eb4be67b107c4d5e892a4744
ops/virtual-office/snapshots/GEMINI-FLASH.json,185,36d9c6667e9d8aa341ee5ed37e659e5ecdc634741f3f3f14be35b2a29baeb0de
ops/virtual-office/snapshots/GEMINI-PRO.json,183,1e3bbb3ad3a6523d1a931ee21358bdd4404c8cccb1490986e1653f46e000b3a4
ops/virtual-office/snapshots/GEMINI.json,179,447800f9bfdb942f7a683d3af3282625d5fb025c287273be65de8a7f38342505
ops/virtual-office/snapshots/HYPERION.json,182,dbb5816080583c516b82aff82a9a9da8c9e80279ff7650197255c4111a7faf60
ops/virtual-office/snapshots/LEAD.json,179,af2cf9cbb2213a4b405b69560034e6672106759c0de896456546ee787c086f74
ops/virtual-office/snapshots/ORION.json,179,f5419165cbd86a2195c047e93a4e8b9918152366b71927302b75111c1f03629d
ops/virtual-office/snapshots/PERSONAL.json,181,8047bd52b36c964b2ef8d40a9c488bca47fc64fc384e4baee5061afc1c4fa055
ops/virtual-office/snapshots/REX.json,177,044bba717100e2b9eb481dc100a53bb7305156f5471784396032629c493526b0
ops/virtual-office/snapshots/SONETTE.json,180,a5d2df0a085515a13da70a026713f016c6818089f8bc97d968dc46b02cd209e2
ops/virtual-office/snapshots/SONNET.json,180,b3d9e044a79018e1f8d1306b7e33bb2aca32bb00ff48814d3cee4650098be4d4
ops/virtual-office/snapshots/TEAMLEAD.json,182,f4fa8d8665dee732527c5806ab142e4d501d2415b740f5255d0785d7ed727609
ops/virtual-office/snapshots/gpt.json,178,0fa7b8b28e7512ed2fe6faa227bf4231ee92d9d3f1c1a09d22b8b4fb40c79e39
