"Title","URL","Description","h1 headings","h2 headings","h3 headings","h4 headings","Title length","Description length","Response time","Content","Link count","Word count","Possible duplicates","Internal backlinks","Last modified","Robots","Canonical","Image count","Image weight","Depth","Internal links","External links","Redirects to here"
"Intro to Play - Createwithplay","https://docs.createwithplay.com/en/articles/getting-started","Welcome to Play! Play is a collaborative tool that lets you design, prototype, and ship your apps.","Intro to Play","Design with Play, Learn more about starting with your existing Figma files, Check out our examples projects in the Learn section, Prototype with Play, Share & Ship with Play, Share Prototypes with App Clips, Play to Xcode Documentation, Resources and Support, Play Community (hosted by Circle), support@createwithplay.com","","","30","98","1.03665 s","349kb","42","670","","5","","","https://docs.createwithplay.com/en/articles/getting-started","7","15kb","0","85","0","0"
"Export Prototypes - Createwithplay","https://docs.createwithplay.com/en/articles/dev-handoff","Two way for designers and developers to collaborate with Play.","Export Prototypes","Overview, Play to Xcode: Complete Integration, Swift UI Code Panel: Reference and Guidance, Play to Xcode for Startups, Enterprise Solutions, Individual Developers, Code Panel Documentation, Exporting to Xcode Guide","Benefits, Key Features","","34","62","0.58008 s","352kb","24","749","","354","","","https://docs.createwithplay.com/en/articles/dev-handoff","7","15kb","1","66","0","0"
"View Prototype - Createwithplay","https://docs.createwithplay.com/en/articles/view-prototype","Experience your prototype on iOS, iPad, or a macOS Simulator.","View Prototype","Overview, Experience Prototypes","Connect to macOS, Play from the iOS Lobby, Play from the iOS Editor, Refresh Interactions on iOS, Exit Play Mode on iOS, Connect to macOS, Play from the iPad Lobby, Refresh Interactions on iPad, Exit Play Mode on iPad, Opening the Simulator, Customizing the Simulator, Recording the Simulator, Considerations for the Simulator","Changing the Simulator’s Device Size, Refresh Interactions on the Simulator, Change the Simulator’s UI Appearance, Adding or Removing Bezel, Opening Multiple Simulator Windows, Change the Prototype Displayed by the Simulator, Coming Soon: Prototype Sharing with the Simulator","31","61","0.52969 s","372kb","26","1562","","27","","","https://docs.createwithplay.com/en/articles/view-prototype","7","15kb","1","75","0","0"
"Projects and Drafts - Createwithplay","https://docs.createwithplay.com/en/articles/projects-and-drafts","","Projects and Drafts","Overview","Drafts, Moving a Project or Draft","","36","0","0.64856 s","326kb","28","338","","26","","","https://docs.createwithplay.com/en/articles/projects-and-drafts","7","15kb","1","79","0","0"
"Organize Projects - Createwithplay","https://docs.createwithplay.com/en/articles/organize-projects","Add tags to create easily accessible sub folders on your team.","Organize Projects","Overview, Tags, Search Projects, View Recent Projects","Create a Tag, Tag Projects, Manage Tags","","34","62","0.55910 s","363kb","28","458","","24","","","https://docs.createwithplay.com/en/articles/organize-projects","7","15kb","1","80","0","0"
"Editor - Createwithplay","https://docs.createwithplay.com/en/articles/editor","Edit projects on macOS and iOS.","Editor","Overview","Pages, Components, Design, Interaction, Settings, Pages, Components, Design","","23","31","0.61182 s","337kb","36","787","","374","","","https://docs.createwithplay.com/en/articles/editor","7","15kb","1","94","0","0"
"Share Design File - Createwithplay","https://docs.createwithplay.com/en/articles/share-design-file","Share a design file privately or publicly.","Share Design File","Overview, Generate an Editor Link","Editor Links for Drafts, From the Lobby, From the Editor","","34","42","0.72709 s","327kb","26","445","","26","","","https://docs.createwithplay.com/en/articles/share-design-file","7","15kb","1","62","0","0"
"Import Figma UI - Createwithplay","https://docs.createwithplay.com/en/articles/import-figma-ui","Best practices for importing components and pages into Play.","Import Figma UI","Overview, Using Auto Layout, Components, Pages","Making Designs Responsive, Designs without Auto Layout","","32","60","0.76425 s","330kb","27","486","","25","","","https://docs.createwithplay.com/en/articles/import-figma-ui","7","15kb","1","71","0","0"
"Interaction Mode - Createwithplay","https://docs.createwithplay.com/en/articles/interactions","","Interaction Mode","Overview, Anatomy of an Interaction, Creating an Interaction, Managing an Interaction, Testing an Interaction, Lock Selection, Annotating Interactions, Advanced Prototyping, Expression Editor, Variables, Conditions, Animate, Delay, Loops","Expression Editor, Variables, Conditions, Animate and Delay Blocks, Loop, Component Interactions","","33","0","0.79612 s","388kb","40","1222","","621","","","https://docs.createwithplay.com/en/articles/interactions","7","15kb","1","82","0","0"
"Design Mode - Createwithplay","https://docs.createwithplay.com/en/articles/design-mode","","Design Mode","Overview, Design with Structure, Design Mode UI","Add Objects, Layers, Styles, Variables, Code, Events, and AI Panels, Attribute Panels","","28","0","0.84368 s","319kb","39","551","","396","","","https://docs.createwithplay.com/en/articles/design-mode","7","15kb","1","70","0","0"
